city_id,city_name,fips_code
1840034016,New York,36081
1840020491,Los Angeles,6037
1840000494,Chicago,17031
1840015149,Miami,12086
1840020925,Houston,48201
1840019440,Dallas,48113
1840000673,Philadelphia,42101
1840013660,Atlanta,13121
1840006060,Washington,11001
1840000455,Boston,25025
1840020568,Phoenix,4013
1840003971,Detroit,26163
1840021117,Seattle,53033
1840021543,San Francisco,6075
1840021990,San Diego,6073
1840007830,Minneapolis,27053
1840015982,Tampa,12057
1840034030,Brooklyn,36047
1840018789,Denver,8031
1840034002,Queens,36081
1840020551,Riverside,6065
1840020364,Las Vegas,32003
1840001592,Baltimore,24510
1840001651,St. Louis,29510
1840019941,Portland,41051
1840022220,San Antonio,48029
1840021491,Sacramento,6067
1840019590,Austin,48453
1840015099,Orlando,12095
1630035577,San Juan,72127
1840021570,San Jose,6085
1840001254,Pittsburgh,42003
1840030084,Indianapolis,18097
1840034000,Manhattan,36061
1840003814,Cincinnati,39061
1840008535,Kansas City,29095
1840000596,Cleveland,39035
1840003760,Columbus,39049
1840033999,Bronx,36005
1840003871,Virginia Beach,51810
1840014557,Charlotte,37119
1840003046,Milwaukee,55079
1840003289,Providence,44007
1840015031,Jacksonville,12031
1840036155,Nashville,47037
1840021383,Salt Lake City,49035
1840014497,Raleigh,37183
1840001698,Richmond,51760
1840015457,Memphis,47157
1840020428,Oklahoma City,40109
1840004773,Hartford,9110
1840030815,Louisville,21111
1840000386,Buffalo,36029
1840001839,New Orleans,22071
1840020696,Fort Worth,48439
1840004836,Bridgeport,9120
1840022101,Tucson,4019
1840023252,El Paso,48141
1840009315,Omaha,31055
1840021024,McAllen,48215
1840006507,Birmingham,1073
1840019176,Albuquerque,35001
1840021672,Tulsa,40143
1840020319,Fresno,6019
1840015163,Charleston,45019
1840000373,Rochester,36055
1840034249,Dayton,39113
1840015130,Cape Coral,12071
1840020580,Mission Viejo,6059
1840018825,Colorado Springs,8041
1840013941,Baton Rouge,22033
1840001044,Allentown,42077
1840020135,Ogden,49057
1840020174,Provo,49049
1840014486,Knoxville,47093
1840002928,Grand Rapids,26081
1840014730,Columbia,45079
1840000417,Albany,36001
1840019148,Bakersfield,6029
1840004850,New Haven,9170
1840007069,Des Moines,19153
1840000791,Akron,39153
1840015094,Palm Bay,12009
1840018905,Concord,6013
1840001686,Wichita,20173
1840020566,Mesa,4013
